x,y,z
2.976200,-3.451611,1.176979
2.750811,-3.512292,1.138539
2.204417,-3.699469,1.062765
2.370887,-3.712097,1.085593
1.765371,-3.731050,1.025120
2.917739,-3.840491,1.200253
2.893160,-3.793201,1.213876
2.526708,-3.773426,1.141600
2.521175,-3.757356,1.144463
2.746907,-3.773844,1.177421
2.188175,-3.924030,1.092367
2.185751,-3.903618,1.100501
1.675474,-3.873381,1.034830
3.286983,-4.023890,1.348908
3.079724,-3.792696,1.243995
1.334177,-3.971426,1.010722
1.583687,-3.970009,1.034643
2.886722,-3.867582,1.181723
2.877429,-3.944217,1.220311
2.438804,-3.974733,1.145957
2.644196,-4.035142,1.206838
1.677750,-4.258246,1.092636
2.421150,-4.018409,1.210453
2.947301,-4.224782,1.303713
3.525539,-4.250583,1.426124
2.968139,-4.260689,1.299370
2.812223,-4.302932,1.281987
1.903779,-4.350020,1.125067
1.643901,-4.623844,1.129578
2.207575,-4.577311,1.207374
1.134985,-4.623766,1.042192
1.541663,-4.557913,1.107219
3.102944,-5.074808,1.523545
3.317099,-4.564848,1.466327
1.085755,-4.828918,1.080842
2.992815,-4.877922,1.516483
3.210058,-4.962399,1.584289
3.782847,-5.295759,1.720290
1.373027,-5.543123,1.170380
4.008845,-0.324301,1.591056
4.085231,0.617990,1.568444
4.070745,-0.296072,1.656012
4.324456,-0.175754,1.781496
3.686906,-0.040352,1.308500
3.795992,0.011071,1.396203
3.797154,0.483544,1.353066
3.866916,0.498044,1.433585
3.807367,-0.274888,1.375424
3.892677,0.310249,1.436967
3.922509,0.161987,1.488276
3.871068,-0.006145,1.441853
3.872409,-0.121467,1.419145
3.908625,0.135600,1.452335
3.916750,0.134655,1.451494
4.007562,0.506680,1.530759
3.970042,-0.195840,1.513853
4.060337,-0.276573,1.724032
4.142200,0.501163,1.595563
4.145968,-0.433545,1.735769
4.202683,0.401278,1.610143
4.207802,-0.182456,1.683205
4.346347,0.285762,1.710024
4.000283,0.455794,1.522469
4.003128,0.226402,1.516541
3.976031,0.082015,1.495046
3.676950,-0.160525,1.319770
4.070995,-0.000683,1.580396
3.881734,-0.140515,1.477192
3.760160,-0.240542,1.386280
4.096108,0.628727,1.567765
4.273191,0.273156,1.675012
3.944337,-0.133259,1.528784
3.971067,-0.006776,1.502577
4.149518,0.388239,1.605266
3.772447,0.393150,1.348654
3.916638,-0.246217,1.516800
4.184311,-0.344818,1.751891
3.783779,0.305166,1.378071
3.794206,0.043255,1.411722
3.819138,-0.070880,1.430663
3.879646,0.214864,1.430170
4.205150,0.153574,1.652047
3.772616,0.293945,1.348605
3.607577,-0.083709,1.259738
3.772971,0.391813,1.349758
28.520729,9.168048,6.220649
306.270966,-59.208794,79.766998
3.978833,-0.226386,1.565614
3.974407,-0.005628,1.504069
4.021734,0.494724,1.571371
4.131194,-0.137156,1.666397
4.433757,-0.125188,1.808509
3.928948,0.504447,1.470570
3.802265,-0.106157,1.390606
3.960100,0.551670,1.477877
4.007717,-0.207407,1.585985
4.130640,0.324361,1.598567
4.160622,0.173443,1.631281
4.274435,-0.038779,1.747391
3.901332,0.465012,1.450173
3.952826,-0.138295,1.528053
3.997664,-0.018506,1.510326
4.215632,0.325847,1.596678
4.225878,0.342294,1.606583
4.296586,-0.440013,1.810356
4.284238,-0.400992,1.781951
3.631543,-0.139866,1.291460
4.014042,0.104698,1.534852
4.188294,0.335125,1.617553
3.648354,0.248997,1.257667
3.697049,0.014941,1.317359
3.706740,-0.183286,1.304659
3.889234,0.509600,1.430686
3.799917,-0.201885,1.409475
3.832448,0.217486,1.326453
3.847035,-0.208273,1.446317
3.940648,0.390222,1.509469
3.887757,-0.114711,1.464525
4.001725,0.465285,1.537247
3.937231,0.538827,1.479095
4.034053,0.054757,1.565367
4.080259,-0.302704,1.655771
4.110027,-0.172990,1.684176
4.120503,0.063705,1.649217
4.095098,0.625764,1.568009
4.193525,-0.376227,1.782526
4.209213,0.559156,1.626224
3.772362,0.208556,1.350831
3.778390,-0.102104,1.393402
3.913732,0.471052,1.449502
3.910081,0.310977,1.482861
3.955840,0.067247,1.440736
3.953810,0.106862,1.461521
3.968038,-0.048459,1.518140
4.102641,-0.188197,1.626251
4.345207,-0.487050,1.852157
3.688009,0.088867,1.287504
3.660017,0.315889,1.261686
3.833008,-0.291002,1.463230
3.821892,-0.074662,1.432117
4.156208,-0.227565,1.701809
3.958963,-0.085860,1.515523
4.141851,-0.184131,1.691986
4.112923,-0.064298,1.632979
4.260303,-0.184075,1.765364
3.798946,0.006639,1.384955
3.762107,0.208677,1.353767
3.743943,0.037296,1.366451
4.003737,0.507622,1.531541
3.954803,0.282102,1.476984
4.092060,0.174882,1.601008
4.189443,-0.267041,1.767567
3.865888,0.359417,1.410102
4.154226,0.608880,1.606137
4.207347,0.328618,1.621481
4.114900,0.566723,1.598669
4.146748,0.030064,1.637402
3.993731,0.205764,1.519351
3.841931,-0.007733,1.427519
3.902036,-0.007187,1.471996
3.973646,0.074994,1.493003
4.070171,-0.237937,1.635999
3.628092,-0.046729,1.286509
3.914234,0.134372,1.452020
3.945928,0.327852,1.472770
4.050297,-0.148429,1.597725
4.191288,-0.092007,1.696395
3.763716,-0.146043,1.380601
3.752023,0.113947,1.338664
3.885543,0.199474,1.432517
3.844125,-0.239226,1.465033
4.169319,-0.211548,1.710824
4.146872,-0.093799,1.734014
4.266791,-0.022241,1.738618
4.192044,-0.097257,1.638616
3.629224,0.347308,1.230223
3.815525,0.238741,1.378992
3.815154,-0.288043,1.430175
4.033162,-0.345549,1.626760
3.852747,-0.166113,1.486496
4.223768,-0.099118,1.732182
3.633937,0.037501,1.272498
3.897403,-0.006673,1.469061
3.995870,0.074213,1.491455
3.674995,0.215904,1.292705
3.790873,0.142415,1.344241
3.751501,0.094866,1.341731
3.792438,-0.197505,1.410078
3.707898,0.024584,1.326965
4.011953,0.392794,1.553162
4.240324,0.291706,1.636717
3.861248,-0.018714,1.446787
3.905421,-0.180397,1.486693
4.041202,-0.191496,1.613245
4.002252,-0.098201,1.549686
4.132281,-0.136584,1.667427
3.931397,-0.128793,1.529808
3.794755,0.226549,1.369072
4.059379,-0.153299,1.598319
4.163747,0.264334,1.618914
4.203485,0.473442,1.642307
4.234435,0.015209,1.696302
4.344808,0.077045,1.741593
4.213687,0.370026,1.638833
4.007424,0.506987,1.531115
3.989950,-0.130757,1.548836
3.679667,0.090301,1.291310
3.820583,-0.181491,1.425977
